!SIL 1.0	SIL
<UNK> 1.0	SPN
kafε 1.0	k a f ε 
kak 1.0	k a k 
kaka 1.0	k a k a 
kalaxi 1.0	k a l a x i 
kalayi 1.0	k a l a y i 
kaleyaxi 1.0	k a l e y a x i 
kali 1.0	k a l i 
kaludee 1.0	k a l u d e e 
kaludeenu 1.0	k a l u d e e n u 
kalukɔlu 1.0	k a l u k ɔ l u 
kalunɔ 1.0	k a l u n ɔ 
kalunεε 1.0	k a l u n ε ε 
kalεbu 1.0	k a l ε b u 
kalεbunu 1.0	k a l ε b u n u 
kamɔni 1.0	k a m ɔ n i 
kan 1.0	k a n 
kana 1.0	k a n a 
kanbiɔ 1.0	k a n b i ɔ 
kanbyɔ 1.0	k a n b y ɔ 
kanfifɔ 1.0	k a n f i f ɔ 
kanhun 1.0	k a n h u n 
kanjɔ 1.0	k a n j ɔ 
kanjɔyikungban 1.0	k a n j ɔ y i k u n g b a n 
kanlan 1.0	k a n l a n 
kanlin 1.0	k a n l i n 
kanlinhwan 1.0	k a n l i n h w a n 
kanlinkplatɔ 1.0	k a n l i n k p l a t ɔ 
kanlinkpo 1.0	k a n l i n k p o 
kanlinnyitɔ 1.0	k a n l i n n y i t ɔ 
kanlinnɔ 1.0	k a n l i n n ɔ 
kanmɔ 1.0	k a n m ɔ 
kanmε 1.0	k a n m ε 
kanmεsyεn 1.0	k a n m ε s y ε n 
kanmεsyεnsyεn 1.0	k a n m ε s y ε n s y ε n 
kanna 1.0	k a n n a 
kannu 1.0	k a n n u 
kannumɔ 1.0	k a n n u m ɔ 
kannumɔgban 1.0	k a n n u m ɔ g b a n 
kannumɔgbenu 1.0	k a n n u m ɔ g b e n u 
kannumɔjɔwatɔ 1.0	k a n n u m ɔ j ɔ w a t ɔ 
kannumɔzɔ 1.0	k a n n u m ɔ z ɔ 
kannyaa 1.0	k a n n y a a 
kannylamɔnɔ 1.0	k a n n y l a m ɔ n ɔ 
kannεε 1.0	k a n n ε ε 
kanta 1.0	k a n t a 
kantantɔnnɔ 1.0	k a n t a n t ɔ n n ɔ 
kantɔn 1.0	k a n t ɔ n 
kantɔnafɔtɔnnukunεnε 1.0	k a n t ɔ n a f ɔ t ɔ n n u k u n ε n ε 
kantɔnnukunatɔn 1.0	k a n t ɔ n n u k u n a t ɔ n 
kantɔnnukunwe 1.0	k a n t ɔ n n u k u n w e 
kantɔnnukunɖokpo 1.0	k a n t ɔ n n u k u n ɖ o k p o 
kantɔnnukunεnε 1.0	k a n t ɔ n n u k u n ε n ε 
kanvɔ 1.0	k a n v ɔ 
kanwe 1.0	k a n w e 
kanwekogan 1.0	k a n w e k o g a n 
kanwenukunatɔn 1.0	k a n w e n u k u n a t ɔ n 
kanwenukunεnε 1.0	k a n w e n u k u n ε n ε 
kanweko 1.0	k a n w e k o 
kanwonɔ 1.0	k a n w o n ɔ 
kanxwebyɔ 1.0	k a n x w e b y ɔ 
kanyεε 1.0	k a n y ε ε 
kanaa 1.0	k a n a a 
kanaanu 1.0	k a n a a n u 
kanɖe 1.0	k a n ɖ e 
kanɖegɔ 1.0	k a n ɖ e g ɔ 
kanɖenukunwe 1.0	k a n ɖ e n u k u n w e 
kanɖenukunɖokpo 1.0	k a n ɖ e n u k u n ɖ o k p o 
kanɖewogan 1.0	k a n ɖ e w o g a n 
kanεlu 1.0	k a n ε l u 
kapadɔsi 1.0	k a p a d ɔ s i 
karen 1.0	k a r e n 
kasi 1.0	k a s i 
kasifia 1.0	k a s i f i a 
kasluaxi 1.0	k a s l u a x i 
kasluaxinu 1.0	k a s l u a x i n u 
kasya 1.0	k a s y a 
kasyakpo 1.0	k a s y a k p o 
kasyatin 1.0	k a s y a t i n 
katakata 1.0	k a t a k a t a 
katoe 1.0	k a t o e 
katati 1.0	k a t a t i 
kavuceyεli 1.0	k a v u c e y ε l i 
kavuceyεlinu 1.0	k a v u c e y ε l i n u 
kavuli 1.0	k a v u l i 
kawun 1.0	k a w u n 
kayini 1.0	k a y i n i 
kaye 1.0	k a y e 
kayifu 1.0	k a y i f u 
ke 1.0	k e 
kebaa 1.0	k e b a a 
kedemɔti 1.0	k e d e m ɔ t i 
kedaa 1.0	k e d a a 
keduma 1.0	k e d u m a 
kedɔlaomεε 1.0	k e d ɔ l a o m ε ε 
kedεci 1.0	k e d ε c i 
kedεcinεfutalinu 1.0	k e d ε c i n ε f u t a l i n u 
kefila 1.0	k e f i l a 
kefilanu 1.0	k e f i l a n u 
kefilimu 1.0	k e f i l i m u 
kefaaamumɔna 1.0	k e f a a a m u m ɔ n a 
keke 1.0	k e k e 
kelaya 1.0	k e l a y a 
keleti 1.0	k e l e t i 
keletyεn 1.0	k e l e t y ε n 
kelita 1.0	k e l i t a 
keliti 1.0	k e l i t i 
keliyɔtiεslɔni 1.0	k e l i y ɔ t i ε s l ɔ n i 
keliyɔti 1.0	k e l i y ɔ t i 
kelubayi 1.0	k e l u b a y i 
kelali 1.0	k e l a l i 
kelani 1.0	k e l a n i 
kelubiadidani 1.0	k e l u b i a d i d a n i 
kelubiadidɔni 1.0	k e l u b i a d i d ɔ n i 
keluvu 1.0	k e l u v u 
keluxi 1.0	k e l u x i 
kelɔsi 1.0	k e l ɔ s i 
kelεnuhapuki 1.0	k e l ε n u h a p u k i 
kemuwεli 1.0	k e m u w ε l i 
kemɔci 1.0	k e m ɔ c i 
kenani 1.0	k e n a n i 
kenaniya 1.0	k e n a n i y a 
kenaniyahu 1.0	k e n a n i y a h u 
keni 1.0	k e n i 
keninu 1.0	k e n i n u 
kenaana 1.0	k e n a a n a 
kenati 1.0	k e n a t i 
kenazi 1.0	k e n a z i 
kesalɔni 1.0	k e s a l ɔ n i 
kesilu 1.0	k e s i l u 
kesiyaxi 1.0	k e s i y a x i 
kesulɔti 1.0	k e s u l ɔ t i 
kesya 1.0	k e s y a 
kete 1.0	k e t e 
ketula 1.0	k e t u l a 
kewe 1.0	k e w e 
kexelata 1.0	k e x e l a t a 
kexati 1.0	k e x a t i 
keyila 1.0	k e y i l a 
keyilanu 1.0	k e y i l a n u 
kezivu 1.0	k e z i v u 
ki 1.0	k i 
kiciɔni 1.0	k i c i ɔ n i 
kicɔni 1.0	k i c ɔ n i 
kidɔni 1.0	k i d ɔ n i 
kiklen 1.0	k i k l e n 
kiko 1.0	k i k o 
kikε 1.0	k i k ε 
kileavu 1.0	k i l e a v u 
kiliyatayimu 1.0	k i l i y a t a y i m u 
kiliyati 1.0	k i l i y a t i 
kiliyatiaaba 1.0	k i l i y a t i a a b a 
kiliyatibaalu 1.0	k i l i y a t i b a a l u 
kiliyatisefεε 1.0	k i l i y a t i s e f ε ε 
kiliyatisana 1.0	k i l i y a t i s a n a 
kiliyatiusɔti 1.0	k i l i y a t i u s ɔ t i 
kiliyatiyealimu 1.0	k i l i y a t i y e a l i m u 
kiliyatiyealimunu 1.0	k i l i y a t i y e a l i m u n u 
kiliɔni 1.0	k i l i ɔ n i 
kilomεtlu 1.0	k i l o m ε t l u 
kilumadi 1.0	k i l u m a d i 
kiloo 1.0	k i l o o 
kimuxamu 1.0	k i m u x a m u 
kina 1.0	k i n a 
kinidi 1.0	k i n i d i 
kinikini 1.0	k i n i k i n i 
kinkanbyɔ 1.0	k i n k a n b y ɔ 
kinkεn 1.0	k i n k ε n 
kinni 1.0	k i n n i 
kinnikinni 1.0	k i n n i k i n n i 
kinnikinnivi 1.0	k i n n i k i n n i v i 
kisilewu 1.0	k i s i l e w u 
kisilɔni 1.0	k i s i l ɔ n i 
kisilɔtitabɔɔ 1.0	k i s i l ɔ t i t a b ɔ ɔ 
kissε 1.0	k i s s ε 
kitlici 1.0	k i t l i c i 
kitlɔni 1.0	k i t l ɔ n i 
kitimu 1.0	k i t i m u 
kivlɔtitaawa 1.0	k i v l ɔ t i t a a w a 
kivusayimu 1.0	k i v u s a y i m u 
klan 1.0	k l a n 
klanwunklanwun 1.0	k l a n w u n k l a n w u n 
klazin 1.0	k l a z i n 
kle 1.0	k l e 
klemaa 1.0	k l e m a a 
kleuncle 1.0	k l e u n c l e 
klewun 1.0	k l e w u n 
klisipusi 1.0	k l i s i p u s i 
klisusεn 1.0	k l i s u s ε n 
klisutalu 1.0	k l i s u t a l u 
klizoliti 1.0	k l i z o l i t i 
klizoplazi 1.0	k l i z o p l a z i 
klo 1.0	k l o 
klobotwe 1.0	k l o b o t w e 
klogan 1.0	k l o g a n 
kloganklogan 1.0	k l o g a n k l o g a n 
klohwan 1.0	k l o h w a n 
kloklo 1.0	k l o k l o 
klolwe 1.0	k l o l w e 
klopasi 1.0	k l o p a s i 
klowee 1.0	k l o w e e 
klpa 1.0	k l p a 
klpɔnyijialavɔ 1.0	k l p ɔ n y i j i a l a v ɔ 
kla 1.0	k l a 
klisu 1.0	k l i s u 
klisusεntɔ 1.0	k l i s u s ε n t ɔ 
klisusεntɔnyijεtɔ 1.0	k l i s u s ε n t ɔ n y i j ε t ɔ 
klisuxo 1.0	k l i s u x o 
kliso 1.0	k l i s o 
klodiwusi 1.0	k l o d i w u s i 
klodiya 1.0	k l o d i y a 
klodu 1.0	k l o d u 
klu 1.0	k l u 
klɔ 1.0	k l ɔ 
klɔcee 1.0	k l ɔ c e e 
klεn 1.0	k l ε n 
klεwunmε 1.0	k l ε w u n m ε 
klεklε 1.0	k l ε k l ε 
klεsaan 1.0	k l ε s a a n 
klεti 1.0	k l ε t i 
klεtinu 1.0	k l ε t i n u 
ko 1.0	k o 
koanu 1.0	k o a n u 
koatɔn 1.0	k o a t ɔ n 
koatɔngɔ 1.0	k o a t ɔ n g ɔ 
koatɔnnukunatɔn 1.0	k o a t ɔ n n u k u n a t ɔ n 
koatɔnnukunwe 1.0	k o a t ɔ n n u k u n w e 
koatɔnnukunwegɔ 1.0	k o a t ɔ n n u k u n w e g ɔ 
koatɔnnukunɖokpo 1.0	k o a t ɔ n n u k u n ɖ o k p o 
koatɔnnukunεnε 1.0	k o a t ɔ n n u k u n ε n ε 
kodaa 1.0	k o d a a 
koffi 1.0	k o f f i 
kofi 1.0	k o f i 
kogban 1.0	k o g b a n 
kogɔ 1.0	k o g ɔ 
kohelεti 1.0	k o h e l ε t i 
koklo 1.0	k o k l o 
koklojonɔ 1.0	k o k l o j o n ɔ 
koklosu 1.0	k o k l o s u 
kokoko 1.0	k o k o k o 
kokolojo 1.0	k o k o l o j o 
kokwe 1.0	k o k w e 
kokɔlɔjɔ 1.0	k o k ɔ l ɔ j ɔ 
kolaya 1.0	k o l a y a 
koli 1.0	k o l i 
koligo 1.0	k o l i g o 
kolo 1.0	k o l o 
kolokεnti 1.0	k o l o k ε n t i 
kolyandli 1.0	k o l y a n d l i 
kolaxi 1.0	k o l a x i 
kolayi 1.0	k o l a y i 
kolee 1.0	k o l e e 
kolosi 1.0	k o l o s i 
kolosinu 1.0	k o l o s i n u 
kon 1.0	k o n 
konou 1.0	k o n o u 
konukunatɔn 1.0	k o n u k u n a t ɔ n 
konukunatɔngɔ 1.0	k o n u k u n a t ɔ n g ɔ 
konukunwe 1.0	k o n u k u n w e 
konukunwegɔ 1.0	k o n u k u n w e g ɔ 
konukunɖokpo 1.0	k o n u k u n ɖ o k p o 
konukunɖokpogɔ 1.0	k o n u k u n ɖ o k p o g ɔ 
konukunεnε 1.0	k o n u k u n ε n ε 
konukunεnεgɔ 1.0	k o n u k u n ε n ε g ɔ 
kooyi 1.0	k o o y i 
kotokiti 1.0	k o t o k i t i 
koyi 1.0	k o y i 
kozevanu 1.0	k o z e v a n u 
kozɔ 1.0	k o z ɔ 
kozεn 1.0	k o z ε n 
kp 1.0	k p 
kpa 1.0	k p a 
kpaa 1.0	k p a a 
kpaba 1.0	k p a b a 
kpakpa 1.0	k p a k p a 
kpan 1.0	k p a n 
kpancaɖa 1.0	k p a n c a ɖ a 
kpankɔn 1.0	k p a n k ɔ n 
kpanlɔ 1.0	k p a n l ɔ 
kpanwunkpanwun 1.0	k p a n w u n k p a n w u n 
kpanye 1.0	k p a n y e 
kpanumεtɔ 1.0	k p a n u m ε t ɔ 
kpasin 1.0	k p a s i n 
kpasεglewxenu 1.0	k p a s ε g l e w x e n u 
kpataki 1.0	k p a t a k i 
kpatakice 1.0	k p a t a k i c e 
kpatagan 1.0	k p a t a g a n 
kpataganbasya 1.0	k p a t a g a n b a s y a 
kpatagankwε 1.0	k p a t a g a n k w ε 
kpatagannu 1.0	k p a t a g a n n u 
kpatagantavo 1.0	k p a t a g a n t a v o 
kpataganzogbεn 1.0	k p a t a g a n z o g b ε n 
kpataganzogbεnhεnnu 1.0	k p a t a g a n z o g b ε n h ε n n u 
kpaɖaɖa 1.0	k p a ɖ a ɖ a 
kpaɖuɖu 1.0	k p a ɖ u ɖ u 
kpe 1.0	k p e 
kpekan 1.0	k p e k a n 
kpekanta 1.0	k p e k a n t a 
kpen 1.0	k p e n 
kpete 1.0	k p e t e 
kpetekuntɔ 1.0	k p e t e k u n t ɔ 
kpeto 1.0	k p e t o 
kpewu 1.0	k p e w u 
kpi 1.0	k p i 
kpikpa 1.0	k p i k p a 
kpikpen 1.0	k p i k p e n 
kpikpi 1.0	k p i k p i 
kpikpin 1.0	k p i k p i n 
kpikpo 1.0	k p i k p o 
kpikpoe 1.0	k p i k p o e 
kpikpon 1.0	k p i k p o n 
kpikpoxɔmε 1.0	k p i k p o x ɔ m ε 
kpin 1.0	k p i n 
kpinkplɔn 1.0	k p i n k p l ɔ n 
kpinkpεn 1.0	k p i n k p ε n 
kpintan 1.0	k p i n t a n 
kpitikpiti 1.0	k p i t i k p i t i 
kpl 1.0	k p l 
kpla 1.0	k p l a 
kplan 1.0	k p l a n 
kple 1.0	k p l e 
kplekple 1.0	k p l e k p l e 
kplekplece 1.0	k p l e k p l e c e 
kplekplecteme 1.0	k p l e k p l e c t e m e 
kpli 1.0	k p l i 
kplon 1.0	k p l o n 
kplekplemε 1.0	k p l e k p l e m ε 
kpleta 1.0	k p l e t a 
kplezan 1.0	k p l e z a n 
kplowun 1.0	k p l o w u n 
kplɔ 1.0	k p l ɔ 
kplɔkplɔ 1.0	k p l ɔ k p l ɔ 
kplɔn 1.0	k p l ɔ n 
kplɔngbasa 1.0	k p l ɔ n g b a s a 
kplɔngbasagan 1.0	k p l ɔ n g b a s a g a n 
kplɔnkplɔn 1.0	k p l ɔ n k p l ɔ n 
kplε 1.0	k p l ε 
kplεkplε 1.0	k p l ε k p l ε 
kpo 1.0	k p o 
kpodo 1.0	k p o d o 
kpode 1.0	k p o d e 
kpodevi 1.0	k p o d e v i 
kpogε 1.0	k p o g ε 
kpojijε 1.0	k p o j i j ε 
kpoli 1.0	k p o l i 
kpon 1.0	k p o n 
kponu 1.0	k p o n u 
kponuno 1.0	k p o n u n o 
kposo 1.0	k p o s o 
kpota 1.0	k p o t a 
kpoun 1.0	k p o u n 
kpowun 1.0	k p o w u n 
kpoo 1.0	k p o o 
kpukpoxonrie 1.0	k p u k p o x o n r i e 
kpulului 1.0	k p u l u l u i 
kpaca 1.0	k p a c a 
kpala 1.0	k p a l a 
kpaxwe 1.0	k p a x w e 
kpede 1.0	k p e d e 
kpedo 1.0	k p e d o 
kpeke 1.0	k p e k e 
kpele 1.0	k p e l e 
kpikpe 1.0	k p i k p e 
kpinkpɔn 1.0	k p i n k p ɔ n 
kpofinfan 1.0	k p o f i n f a n 
kpomεmyɔ 1.0	k p o m ε m y ɔ 
kpotɔnɔ 1.0	k p o t ɔ n ɔ 
kpoɖedoɖe 1.0	k p o ɖ e d o ɖ e 
kpɔ 1.0	k p ɔ 
kpɔcɔnu 1.0	k p ɔ c ɔ n u 
kpɔjitɔ 1.0	k p ɔ j i t ɔ 
kpɔli 1.0	k p ɔ l i 
kpɔn 1.0	k p ɔ n 
kpɔncɔɔn 1.0	k p ɔ n c ɔ ɔ n 
kpɔndewu 1.0	k p ɔ n d e w u 
kpɔninɔ 1.0	k p ɔ n i n ɔ 
kpɔnwun 1.0	k p ɔ n w u n 
kpɔnɔxamε 1.0	k p ɔ n ɔ x a m ε 
kpɔvεwun 1.0	k p ɔ v ε w u n 
kpɔwun 1.0	k p ɔ w u n 
kpɔɖɔkpɔɖɔ 1.0	k p ɔ ɖ ɔ k p ɔ ɖ ɔ 
kpɔdɔ 1.0	k p ɔ d ɔ 
kpɔun 1.0	k p ɔ u n 
kpε 1.0	k p ε 
kpεlε 1.0	k p ε l ε 
kpεn 1.0	k p ε n 
kpεde 1.0	k p ε d e 
kpεnkuntɔ 1.0	k p ε n k u n t ɔ 
kpεnzɔn 1.0	k p ε n z ɔ n 
kpεtεvi 1.0	k p ε t ε v i 
kpεvi 1.0	k p ε v i 
kpεxɔntɔn 1.0	k p ε x ɔ n t ɔ n 
kpεɖe 1.0	k p ε ɖ e 
kpεεn 1.0	k p ε ε n 
ku 1.0	k u 
kucayahu 1.0	k u c a y a h u 
kucanihliceatayimu 1.0	k u c a n i h l i c e a t a y i m u 
kudan 1.0	k u d a n 
kudo 1.0	k u d o 
kuiji 1.0	k u i j i 
kuku 1.0	k u k u 
kumεε 1.0	k u m ε ε 
kun 1.0	k u n 
kuni 1.0	k u n i 
kunkpla 1.0	k u n k p l a 
kunkun 1.0	k u n k u n 
kutonu 1.0	k u t o n u 
kutɔnu 1.0	k u t ɔ n u 
kuuu 1.0	k u u u 
kuwiji 1.0	k u w i j i 
kuzu 1.0	k u z u 
kwecloxosa 1.0	k w e c l o x o s a 
kwekwetin 1.0	k w e k w e t i n 
kwekwe 1.0	k w e k w e 
kwenkwenme 1.0	k w e n k w e n m e 
kwiji 1.0	k w i j i 
kwin 1.0	k w i n 
kwlele 1.0	k w l e l e 
kwlesinnɔ 1.0	k w l e s i n n ɔ 
kws 1.0	k w s 
kwele 1.0	k w e l e 
kwelesin 1.0	k w e l e s i n 
kwelesinnɔ 1.0	k w e l e s i n n ɔ 
kwinkwin 1.0	k w i n k w i n 
kwε 1.0	k w ε 
kabi 1.0	k a b i 
kaa 1.0	k a a 
kacεkacε 1.0	k a c ε k a c ε 
kadli 1.0	k a d l i 
kakan 1.0	k a k a n 
kanflan 1.0	k a n f l a n 
kannatɔ 1.0	k a n n a t ɔ 
kanwezun 1.0	k a n w e z u n 
kanɖo 1.0	k a n ɖ o 
kayi 1.0	k a y i 
kaokao 1.0	k a o k a o 
keɖe 1.0	k e ɖ e 
kede 1.0	k e d e 
keje 1.0	k e j e 
kenu 1.0	k e n u 
keve 1.0	k e v e 
keze 1.0	k e z e 
kici 1.0	k i c i 
kicu 1.0	k i c u 
kii 1.0	k i i 
kiialεsεti 1.0	k i i a l ε s ε t i 
kiimɔwabu 1.0	k i i m ɔ w a b u 
kiiεlεsi 1.0	k i i ε l ε s i 
kija 1.0	k i j a 
kije 1.0	k i j e 
kijε 1.0	k i j ε 
kinklan 1.0	k i n k l a n 
kinkan 1.0	k i n k a n 
kinkɔn 1.0	k i n k ɔ n 
kisa 1.0	k i s a 
konu 1.0	k o n u 
koyεε 1.0	k o y ε ε 
kozo 1.0	k o z o 
koɖo 1.0	k o ɖ o 
kudrɔ 1.0	k u d r ɔ 
kuci 1.0	k u c i 
kudonu 1.0	k u d o n u 
kudido 1.0	k u d i d o 
kudonumε 1.0	k u d o n u m ε 
kudonumεvɔ 1.0	k u d o n u m ε v ɔ 
kugan 1.0	k u g a n 
kugbe 1.0	k u g b e 
kuhwε 1.0	k u h w ε 
kujεkujε 1.0	k u j ε k u j ε 
kuli 1.0	k u l i 
kunkan 1.0	k u n k a n 
kunnu 1.0	k u n n u 
kunnuagɔɖenumawutɔ 1.0	k u n n u a g ɔ ɖ e n u m a w u t ɔ 
kunnuagɔɖetɔ 1.0	k u n n u a g ɔ ɖ e t ɔ 
kunnuɖegba 1.0	k u n n u ɖ e g b a 
kunnuɖenu 1.0	k u n n u ɖ e n u 
kunnuɖetɔ 1.0	k u n n u ɖ e t ɔ 
kunnuɖiɖe 1.0	k u n n u ɖ i ɖ e 
kusukpɔ 1.0	k u s u k p ɔ 
kuti 1.0	k u t i 
kutinu 1.0	k u t i n u 
kutomε 1.0	k u t o m ε 
kuvu 1.0	k u v u 
kuvitɔ 1.0	k u v i t ɔ 
kuwunda 1.0	k u w u n d a 
kuxwe 1.0	k u x w e 
kuyε 1.0	k u y ε 
kuzan 1.0	k u z a n 
kuzɔn 1.0	k u z ɔ n 
kɔ 1.0	k ɔ 
kɔblumanya 1.0	k ɔ b l u m a n y a 
kɔdo 1.0	k ɔ d o 
kɔfu 1.0	k ɔ f u 
kɔgban 1.0	k ɔ g b a n 
kɔglo 1.0	k ɔ g l o 
kɔgudu 1.0	k ɔ g u d u 
kɔhota 1.0	k ɔ h o t a 
kɔjafun 1.0	k ɔ j a f u n 
kɔjε 1.0	k ɔ j ε 
kɔkpe 1.0	k ɔ k p e 
kɔkwin 1.0	k ɔ k w i n 
kɔli 1.0	k ɔ l i 
kɔlivla 1.0	k ɔ l i v l a 
kɔluhozee 1.0	k ɔ l u h o z e e 
kɔlewa 1.0	k ɔ l e w a 
kɔlee 1.0	k ɔ l e e 
kɔlilε 1.0	k ɔ l i l ε 
kɔlεnti 1.0	k ɔ l ε n t i 
kɔlεntinu 1.0	k ɔ l ε n t i n u 
kɔmlɔgɔ 1.0	k ɔ m l ɔ g ɔ 
kɔmε 1.0	k ɔ m ε 
kɔn 1.0	k ɔ n 
kɔnaniahu 1.0	k ɔ n a n i a h u 
kɔnkɔnbu 1.0	k ɔ n k ɔ n b u 
kɔnɖokpɔ 1.0	k ɔ n ɖ o k p ɔ 
kɔnɖokpɔnuɖuɖu 1.0	k ɔ n ɖ o k p ɔ n u ɖ u ɖ u 
kɔnɖokpɔvɔ 1.0	k ɔ n ɖ o k p ɔ v ɔ 
kɔnεyi 1.0	k ɔ n ε y i 
kɔsi 1.0	k ɔ s i 
kɔsukɔsu 1.0	k ɔ s u k ɔ s u 
kɔta 1.0	k ɔ t a 
kɔtan 1.0	k ɔ t a n 
kɔxo 1.0	k ɔ x o 
kɔxota 1.0	k ɔ x o t a 
kɔxumε 1.0	k ɔ x u m ε 
kɔyi 1.0	k ɔ y i 
kɔzibi 1.0	k ɔ z i b i 
kɔzun 1.0	k ɔ z u n 
kɔɖonu 1.0	k ɔ ɖ o n u 
kɔɔ 1.0	k ɔ ɔ 
kε 1.0	k ε 
kεdε 1.0	k ε d ε 
kεn 1.0	k ε n 
kεnji 1.0	k ε n j i 
kεnnεkεnnε 1.0	k ε n n ε k ε n n ε 
kεzεmin 1.0	k ε z ε m i n 
kεɖε 1.0	k ε ɖ ε 
kεkε 1.0	k ε k ε 
kεkεfɔ 1.0	k ε k ε f ɔ 
kεkεvi 1.0	k ε k ε v i 
kεkεvikuntɔ 1.0	k ε k ε v i k u n t ɔ 
kεlεmu 1.0	k ε l ε m u 
kεmε 1.0	k ε m ε 
kεnklεn 1.0	k ε n k l ε n 
kεnkεn 1.0	k ε n k ε n 
kεnnε 1.0	k ε n n ε 
kεnnεnukunwe 1.0	k ε n n ε n u k u n w e 
kεnsisɔ 1.0	k ε n s i s ɔ 
kεntɔ 1.0	k ε n t ɔ 
kεsεdi 1.0	k ε s ε d i 
kεwun 1.0	k ε w u n 
kεya 1.0	k ε y a 
kεyε 1.0	k ε y ε 
kεɖεε 1.0	k ε ɖ ε ε 
kεε 1.0	k ε ε 
l 1.0	l 
la 1.0	l a 
labaan 1.0	l a b a a n 
lacalɔni 1.0	l a c a l ɔ n i 
laedaa 1.0	l a e d a a 
laedani 1.0	l a e d a n i 
laglasi 1.0	l a g l a s i 
laglasilinfin 1.0	l a g l a s i l i n f i n 
lakpalakpa 1.0	l a k p a l a k p a 
lakici 1.0	l a k i c i 
lakumu 1.0	l a k u m u 
lamεki 1.0	l a m ε k i 
lan 1.0	l a n 
lanba 1.0	l a n b a 
lango 1.0	l a n g o 
lanhutɔ 1.0	l a n h u t ɔ 
lanhutεn 1.0	l a n h u t ε n 
lanmc 1.0	l a n m c 
lanmen 1.0	l a n m e n 
lanmε 1.0	l a n m ε 
lanmεsyεnsyεn 1.0	l a n m ε s y ε n s y ε n 
lanti 1.0	l a n t i 
lantilu 1.0	l a n t i l u 
lanvε 1.0	l a n v ε 
lanwliɖutɔ 1.0	l a n w l i ɖ u t ɔ 
lanxu 1.0	l a n x u 
lanzo 1.0	l a n z o 
lanzɔ 1.0	l a n z ɔ 
lanzεn 1.0	l a n z ε n 
lanɖuxε 1.0	l a n ɖ u x ε 
lapidɔti 1.0	l a p i d ɔ t i 
latεεngbe 1.0	l a t ε ε n g b e 
lavani 1.0	l a v a n i 
lawodisee 1.0	l a w o d i s e e 
lawodiseenu 1.0	l a w o d i s e e n u 
lawe 1.0	l a w e 
laximi 1.0	l a x i m i 
laximasi 1.0	l a x i m a s i 
laxadi 1.0	l a x a d i 
laxayihlɔyi 1.0	l a x a y i h l ɔ y i 
layicanu 1.0	l a y i c a n u 
layici 1.0	l a y i c i 
layicinu 1.0	l a y i c i n u 
layii 1.0	l a y i i 
lazayia 1.0	l a z a y i a 
lazaa 1.0	l a z a a 
lakunmi 1.0	l a k u n m i 
lakunmisixwε 1.0	l a k u n m i s i x w ε 
laεli 1.0	l a ε l i 
le 1.0	l e 
lee 1.0	l e e 
leka 1.0	l e k a 
lele 1.0	l e l e 
lelenɔ 1.0	l e l e n ɔ 
lemuwεli 1.0	l e m u w ε l i 
len 1.0	l e n 
levana 1.0	l e v a n a 
levaɔti 1.0	l e v a ɔ t i 
levona 1.0	l e v o n a 
levyataan 1.0	l e v y a t a a n 
levii 1.0	l e v i i 
lewumiti 1.0	l e w u m i t i 
lexavu 1.0	l e x a v u 
lexavunu 1.0	l e x a v u n u 
lexεmu 1.0	l e x ε m u 
leyanɔti 1.0	l e y a n ɔ t i 
li 1.0	l i 
libaan 1.0	l i b a a n 
libii 1.0	l i b i i 
libiinu 1.0	l i b i i n u 
lida 1.0	l i d a 
lidanu 1.0	l i d a n u 
lidji 1.0	l i d j i 
lidii 1.0	l i d i i 
ligbe 1.0	l i g b e 
lihεnnu 1.0	l i h ε n n u 
likawonii 1.0	l i k a w o n i i 
liki 1.0	l i k i 
lili 1.0	l i l i 
liliti 1.0	l i l i t i 
lilε 1.0	l i l ε 
lilεlilε 1.0	l i l ε l i l ε 
lin 1.0	l i n 
linfin 1.0	l i n f i n 
linfinka 1.0	l i n f i n k a 
linkpon 1.0	l i n k p o n 
linkpɔn 1.0	l i n k p ɔ n 
linlin 1.0	l i n l i n 
linnawa 1.0	l i n n a w a 
linsinlinsin 1.0	l i n s i n l i n s i n 
linu 1.0	l i n u 
lionel 1.0	l i o n e l 
lisitli 1.0	l i s i t l i 
lisiyasi 1.0	l i s i y a s i 
lisa 1.0	l i s a 
lisii 1.0	l i s i i 
lisε 1.0	l i s ε 
livi 1.0	l i v i 
livuna 1.0	l i v u n a 
livunanu 1.0	l i v u n a n u 
livuni 1.0	l i v u n i 
lixo 1.0	l i x o 
lizyasi 1.0	l i z y a s i 
lo 1.0	l o 
lobo 1.0	l o b o 
lobɔ 1.0	l o b ɔ 
lodevaa 1.0	l o d e v a a 
lodevaanu 1.0	l o d e v a a n u 
lodi 1.0	l o d i 
lodinu 1.0	l o d i n u 
lon 1.0	l o n 
lotani 1.0	l o t a n i 
loɔ 1.0	l o ɔ 
lu 1.0	l u 
lubi 1.0	l u b i 
lugbe 1.0	l u g b e 
luki 1.0	l u k i 
lun 1.0	l u n 
lusiwusi 1.0	l u s i w u s i 
lutuvɔ 1.0	l u t u v ɔ 
luxiti 1.0	l u x i t i 
lwa 1.0	l w a 
lyo 1.0	l y o 
lyεngbe 1.0	l y ε n g b e 
lankolanko 1.0	l a n k o l a n k o 
lanlanlan 1.0	l a n l a n l a n 
lekɔwa 1.0	l e k ɔ w a 
levɔ 1.0	l e v ɔ 
